claim,paper_location,supporting_artifact
"H1: embedding alignment yields higher weighted-Jaccard than lexical/TF-IDF on app-review and support-tweet proxies","Section 6.1; Table alignment-main; Section 6.6 (H1)","paper_ux/tables/alignment_main.tex; reports/ux/alignment_table.csv"
"H2: top-k Jaccard saturates and overstates alignment at large k","Section 6.1; Table alignment-sensitivity; Section 6.6 (H2)","paper_ux/tables/alignment_sensitivity.tex; reports/ux/alignment_sensitivity.md"
"H3: aggregate estimates stable for lexical/TF-IDF; embedding W systematically unstable under bootstrap resampling","Section 6.2; Table bootstrap-ci-multi; Section 6.6 (H3)","paper_ux/tables/bootstrap_ci_multi.tex; reports/ux/alignment_bootstrap_embed_amazon.json; reports/ux/alignment_bootstrap_embed_tinder.json; reports/ux/alignment_bootstrap_embed_gojek.json"
"Bootstrap CI for weighted-Jaccard (Amazon low-rated, lexical) is tight","Section 6.2; Table bootstrap-ci; Figure bootstrap-ci","paper_ux/tables/bootstrap_ci.tex; reports/ux/alignment_bootstrap.json"
"Proxy alignment by dataset and method (weighted-Jaccard)","Section 6.1; Figure alignment","paper_ux/figures/alignment_plot.pdf; reports/ux/alignment_table.csv"
"OSS issues proxy alignment (embedding tends to outperform lexical; Sentry exception)","Section 6.1; Table alignment-oss","paper_ux/tables/alignment_oss.tex; reports/ux/proxy_validation_summary_oss.csv; reports/ux/proxy_validation_summary_oss_bge.csv"
"Agent ablation - hallucination/quality focus (gpt-4.1 hybrid highest quality; gpt-5.2 collapse)","Section 5; Section 6.4; Table agent-ablation-hq","paper_ux/tables/agent_ablation_hq.tex; reports/ux/agent_ablation_hallucination_quality_summary.csv"
"Agent ablation - cost/quality focus","Section 5; Section 6.4; Table agent-ablation-cq","paper_ux/tables/agent_ablation_cq.tex; reports/ux/agent_ablation_cost_quality_summary.csv"
"Experimental conditions for agent ablations","Section 5; Table agent-ablation-conditions","paper_ux/tables/agent_ablation_conditions.tex; reports/ux/agent_ablation_hallucination_quality_summary.csv; reports/ux/agent_ablation_cost_quality_summary.csv"
"Cost-quality Pareto frontier across agent strategies","Section 5; Figure agent-ablation-pareto","paper_ux/figures/agent_ablation_pareto.pdf; reports/ux/agent_ablation_hallucination_quality_summary.csv; reports/ux/agent_ablation_cost_quality_summary.csv"
"LLM label evaluation on annotated Amazon subset (accuracy 0.556, macro-F1 0.438)","Section 6.5; Table appstore-eval","paper_ux/tables/appstore_eval.tex; reports/ux/annotations/amazon_appstore_eval.json"
"Cheap baselines vs LLM on appstore classification (embedding+logreg accuracy 0.635)","Section 6.5; Table appstore-baselines","paper_ux/tables/appstore_baselines.tex; reports/ux/annotations/amazon_appstore_baseline_eval.json"
"Most frequent label confusions in LLM classification","Section 6.5; Table appstore-confusions","paper_ux/tables/appstore_confusions.tex; reports/ux/annotations/amazon_appstore_eval.csv"
"Failure-mode examples flagged as fabricated by the adversarial judge","Section 6.3; Table fabrication-examples","paper_ux/tables/fabrication_examples.tex; reports/ux/fabrication_ablation_hq_summary_examples.json"
"Friction taxonomy (categories, default weights, representative keywords)","Appendix; Table friction-taxonomy","paper_ux/tables/friction_taxonomy.tex (ships pre-generated; taxonomy config not redistributed)"
